Zeit,Temperatur Innen(℃),Luftfeuchtigkeit Innen(%),Temperatur Aussen(℃),Luftfeuchtigkeit Aussen(%),Taupunkt(℃),Gefühlte Temperatur(℃),Wind(m/s),Böe(m/s),Windrichtung(°),Abs. Luftdruck(hpa),Rel. Luftdruck(hpa),Sonneneinstrahlung(w/m2),UVI,Regen/Stunde(mm),Regen Event(mm),Regen/Tag(mm),Regen/Wochen(mm),Regen/Monat(mm),Regen/Jahre(mm),Pm2.5(ug/m3)
2025/1/1 0:00,22.0,37,2.8,88,0.9,-0.1,2.9,3.1,203,1010.2,1010.2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2025/1/1 0:14,21.9,37,2.9,88,1.0,1.3,1.7,2.0,235,1010.2,1010.2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2025/1/1 0:29,21.8,37,3.0,88,1.1,3.0,1.3,1.5,244,1009.9,1009.9,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2025/1/1 0:44,21.7,37,3.0,88,1.1,3.0,1.3,2.0,239,1009.8,1009.8,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2025/1/1 0:59,21.6,37,3.0,88,1.1,3.0,1.1,1.5,175,1010.0,1010.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2025/1/1 1:14,21.5,37,3.2,88,1.3,1.9,1.5,2.0,256,1009.9,1009.9,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2025/1/1 1:29,21.5,38,3.2,88,1.3,3.2,0.8,1.5,134,1009.8,1009.8,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2025/1/1 1:44,21.4,38,3.4,88,1.5,3.4,1.3,2.0,276,1009.8,1009.8,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2025/1/1 1:59,21.4,38,3.2,89,1.5,3.2,1.0,1.5,191,1009.6,1009.6,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2025/1/1 2:14,21.3,38,3.1,89,1.4,1.2,1.9,3.6,257,1009.2,1009.2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2025/1/1 2:29,21.3,38,3.3,89,1.6,1.0,2.4,2.6,204,1009.0,1009.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2025/1/1 2:44,21.2,38,3.5,88,1.6,2.2,1.5,1.5,258,1008.8,1008.8,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2025/1/1 2:59,21.2,38,3.4,88,1.5,3.4,1.0,1.5,237,1009.0,1009.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2025/1/1 3:14,21.1,38,3.3,89,1.6,2.0,1.5,2.0,252,1008.9,1008.9,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2025/1/1 3:29,21.1,38,3.2,90,1.7,3.2,1.3,1.5,159,1008.7,1008.7,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2025/1/1 3:44,21.1,38,3.3,89,1.6,3.3,1.1,1.5,212,1008.4,1008.4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2025/1/1 3:59,21.0,38,3.2,90,1.7,0.6,2.6,3.1,231,1008.4,1008.4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2025/1/1 4:14,21.0,38,3.1,90,1.6,1.1,2.0,2.6,209,1008.4,1008.4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2025/1/1 4:29,21.0,38,3.0,90,1.5,1.1,1.9,2.0,238,1008.1,1008.1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2025/1/1 4:44,20.9,38,3.2,91,1.9,3.2,1.2,1.5,213,1007.8,1007.8,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2025/1/1 4:59,20.9,38,3.9,89,2.2,2.2,1.9,2.0,198,1007.7,1007.7,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2025/1/1 5:14,20.9,38,4.1,88,2.2,2.5,1.8,2.0,194,1007.5,1007.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
