Zeit,Temperatur Innen(℃),Luftfeuchtigkeit Innen(%),Temperatur Aussen(℃),Luftfeuchtigkeit Aussen(%),Taupunkt(℃),Gefühlte Temperatur(℃),Wind(m/s),Böe(m/s),Windrichtung(°),Abs. Luftdruck(hpa),Rel. Luftdruck(hpa),Sonneneinstrahlung(w/m2),UVI,Regen/Stunde(mm),Regen Event(mm),Regen/Tag(mm),Regen/Wochen(mm),Regen/Monat(mm),Regen/Jahre(mm),Pm2.5(ug/m3)
2026/3/1 0:00,21.5,46,4.7,88,2.8,4.7,1.2,1.5,221,1013.3,1013.3,0.0,0,0.0,0.0,0.0,6.6,0.0,135.4,--
2026/3/1 0:04,21.5,46,4.8,88,2.9,4.8,1.3,1.5,228,1013.1,1013.1,0.0,0,0.0,0.0,0.0,6.6,0.0,135.4,--
2026/3/1 0:19,21.4,46,4.6,88,2.7,3.3,1.6,2.0,246,1013.3,1013.3,0.0,0,0.0,0.0,0.0,6.6,0.0,135.4,--
2026/3/1 0:34,21.4,46,4.8,86,2.7,4.8,1.2,1.5,248,1013.1,1013.1,0.0,0,0.0,0.0,0.0,6.6,0.0,135.4,--
2026/3/1 0:49,21.3,46,4.7,86,2.6,4.7,1.1,1.5,252,1013.1,1013.1,0.0,0,0.0,0.0,0.0,6.6,0.0,135.4,--
2026/3/1 1:04,21.3,46,4.2,88,2.3,4.2,1.0,1.0,241,1013.2,1013.2,0.0,0,0.0,0.0,0.0,6.6,0.0,135.4,--
2026/3/1 1:19,21.2,46,4.0,89,2.3,4.0,0.9,1.0,239,1013.2,1013.2,0.0,0,0.0,0.0,0.0,6.6,0.0,135.4,--
2026/3/1 1:34,21.2,46,3.8,90,2.3,3.8,1.2,1.5,240,1013.4,1013.4,0.0,0,0.0,0.0,0.0,6.6,0.0,135.4,--
2026/3/1 1:49,21.1,46,4.1,89,2.4,4.1,1.1,1.5,230,1013.3,1013.3,0.0,0,0.0,0.0,0.0,6.6,0.0,135.4,--
2026/3/1 2:04,21.1,46,3.6,91,2.3,3.6,0.9,1.0,225,1013.3,1013.3,0.0,0,0.0,0.0,0.0,6.6,0.0,135.4,--
