Zeit,Temperatur Innen(℃),Luftfeuchtigkeit Innen(%),Temperatur Aussen(℃),Luftfeuchtigkeit Aussen(%),Taupunkt(℃),Gefühlte Temperatur(℃),Wind(m/s),Böe(m/s),Windrichtung(°),Abs. Luftdruck(hpa),Rel. Luftdruck(hpa),Sonneneinstrahlung(w/m2),UVI,Regen/Stunde(mm),Regen Event(mm),Regen/Tag(mm),Regen/Wochen(mm),Regen/Monat(mm),Regen/Jahre(mm),Pm2.5(ug/m3)
2023/2/26 10:30,21.0,46,0.2,71,-4.5,-4.4,4.5,4.6,313,1009.8,1009.8,140.1,1,0.0,0.0,0.0,10.1,23.3,65.0,--
2023/2/26 10:45,20.9,46,0.3,71,-4.4,-3.2,3.1,3.6,317,1009.5,1009.5,98.1,0,0.0,0.0,0.0,10.1,23.3,65.0,--
2023/2/26 11:00,21.1,46,1.2,67,-4.3,-3.0,4.2,5.1,325,1009.8,1009.8,118.3,1,0.0,0.0,0.0,10.1,23.3,65.0,--
2023/2/26 11:15,21.2,46,1.2,65,-4.7,-2.9,4.0,5.1,35,1010.1,1010.1,397.8,3,0.0,0.0,0.0,10.1,23.3,65.0,--
2023/2/26 11:30,21.3,44,2.0,62,-4.5,-1.3,3.2,5.1,315,1010.0,1010.0,457.3,4,0.0,0.0,0.0,10.1,23.3,65.0,--
2023/2/26 11:45,21.6,43,2.2,58,-5.2,-1.2,3.4,4.1,336,1010.0,1010.0,360.3,3,0.0,0.0,0.0,10.1,23.3,65.0,--
2023/2/26 12:00,21.6,44,1.5,57,-6.1,-2.2,3.7,4.6,316,1010.2,1010.2,433.4,4,0.0,0.0,0.0,10.1,23.3,65.0,--
2023/2/26 12:15,22.3,43,2.9,55,-5.3,-1.2,4.8,6.1,346,1010.4,1010.4,146.5,1,0.0,0.0,0.0,10.1,23.3,65.0,--
2023/2/26 12:30,22.5,43,2.9,52,-6.0,-1.2,4.7,6.1,30,1010.5,1010.5,493.1,4,0.0,0.0,0.0,10.1,23.3,65.0,--
2023/2/26 12:45,22.5,43,2.3,52,-6.6,-1.8,4.5,5.1,20,1010.6,1010.6,125.7,1,0.0,0.0,0.0,10.1,23.3,65.0,--
2023/2/26 13:00,22.2,42,1.9,52,-6.9,-2.0,4.0,5.1,315,1010.5,1010.5,116.7,1,0.0,0.0,0.0,10.1,23.3,65.0,--
2023/2/26 13:15,22.0,43,1.9,54,-6.4,-0.5,2.2,3.1,358,1010.3,1010.3,165.5,1,0.0,0.0,0.0,10.1,23.3,65.0,--
2023/2/26 13:30,22.2,43,2.6,53,-6.0,-0.7,3.4,4.1,336,1010.4,1010.4,434.5,4,0.0,0.0,0.0,10.1,23.3,65.0,--
2023/2/26 13:45,22.6,43,2.7,51,-6.4,-0.8,3.8,4.6,334,1010.4,1010.4,419.0,4,0.0,0.0,0.0,10.1,23.3,65.0,--
2023/2/26 14:00,23.0,44,2.8,50,-6.6,-0.9,4.0,4.6,1,1010.2,1010.2,219.2,2,0.0,0.0,0.0,10.1,23.3,65.0,--
2023/2/26 14:15,22.8,44,2.4,49,-7.2,-0.9,3.3,4.1,317,1010.3,1010.3,168.8,1,0.0,0.0,0.0,10.1,23.3,65.0,--
2023/2/26 14:30,22.9,45,2.9,51,-6.2,-1.2,4.8,5.6,323,1010.4,1010.4,104.2,1,0.0,0.0,0.0,10.1,23.3,65.0,--
2023/2/26 14:45,22.7,45,2.6,51,-6.5,-0.2,2.8,3.6,346,1010.5,1010.5,130.5,1,0.0,0.0,0.0,10.1,23.3,65.0,--
2023/2/26 15:00,23.0,44,3.1,50,-6.3,0.1,3.1,4.1,327,1010.4,1010.4,157.2,1,0.0,0.0,0.0,10.1,23.3,65.0,--
2023/2/26 15:15,22.8,44,2.8,50,-6.6,0.7,2.1,2.6,52,1010.7,1010.7,200.0,1,0.0,0.0,0.0,10.1,23.3,65.0,--
2023/2/26 15:30,22.7,44,2.9,51,-6.2,0.2,2.7,3.1,320,1010.4,1010.4,108.0,1,0.0,0.0,0.0,10.1,23.3,65.0,--
2023/2/26 15:45,22.6,44,2.6,49,-7.1,-0.5,3.2,3.6,331,1010.7,1010.7,67.0,0,0.0,0.0,0.0,10.1,23.3,65.0,--
2023/2/26 16:00,23.1,43,3.7,47,-6.6,1.4,2.4,3.1,12,1010.6,1010.6,180.1,1,0.0,0.0,0.0,10.1,23.3,65.0,--
2023/2/26 16:15,23.0,44,3.0,49,-6.7,-0.7,4.3,5.1,323,1010.5,1010.5,91.6,0,0.0,0.0,0.0,10.1,23.3,65.0,--
2023/2/26 16:30,23.2,43,3.4,47,-6.9,0.3,3.4,4.6,9,1010.5,1010.5,101.4,0,0.0,0.0,0.0,10.1,23.3,65.0,--
2023/2/26 16:45,23.4,43,2.9,48,-7.0,0.0,3.0,3.6,27,1010.6,1010.6,58.4,0,0.0,0.0,0.0,10.1,23.3,65.0,--
2023/2/26 17:00,23.2,43,3.1,49,-6.6,-0.9,4.7,5.6,325,1010.7,1010.7,39.4,0,0.0,0.0,0.0,10.1,23.3,65.0,--
2023/2/26 17:15,23.0,43,2.7,49,-7.0,-0.8,3.8,4.6,313,1010.9,1010.9,30.4,0,0.0,0.0,0.0,10.1,23.3,65.0,--
2023/2/26 17:30,22.8,43,2.4,54,-6.0,-0.4,2.7,3.1,336,1011.2,1011.2,21.2,0,0.0,0.0,0.0,10.1,23.3,65.0,--
2023/2/26 17:45,22.7,43,2.2,49,-7.4,-0.5,2.6,3.1,326,1011.1,1011.1,13.6,0,0.0,0.0,0.0,10.1,23.3,65.0,--
2023/2/26 18:00,22.5,44,2.1,52,-6.7,-0.5,2.4,3.1,12,1011.5,1011.5,6.2,0,0.0,0.0,0.0,10.1,23.3,65.0,--
