Zeit,Temperatur Innen(℃),Luftfeuchtigkeit Innen(%),Temperatur Aussen(℃),Luftfeuchtigkeit Aussen(%),Taupunkt(℃),Gefühlte Temperatur(℃),Wind(m/s),Böe(m/s),Windrichtung(°),Abs. Luftdruck(hpa),Rel. Luftdruck(hpa),Sonneneinstrahlung(w/m2),UVI,Regen/Stunde(mm),Regen Event(mm),Regen/Tag(mm),Regen/Wochen(mm),Regen/Monat(mm),Regen/Jahre(mm),Pm2.5(ug/m3)
2024/1/1 0:00,21.1,48,7.7,80,4.5,7.7,0.8,1.0,209,989.9,989.9,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 0:15,21.0,47,7.8,80,4.6,7.8,1.1,1.5,248,990.0,990.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 0:30,21.0,47,7.6,80,4.4,7.6,1.2,1.5,141,989.8,989.8,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 0:45,21.0,47,7.6,80,4.4,6.2,2.3,3.1,201,990.0,990.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 1:00,21.0,47,7.5,79,4.1,5.7,2.8,3.1,233,990.2,990.2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 1:15,20.9,47,7.6,78,4.0,6.5,1.8,3.1,158,990.4,990.4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 1:30,20.9,47,7.6,78,4.0,6.3,2.1,2.6,204,990.3,990.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 1:45,20.9,47,7.7,77,3.9,6.5,2.0,3.1,228,990.0,990.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 2:00,20.8,47,7.6,77,3.8,6.5,1.8,2.6,197,990.0,990.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 2:15,20.8,47,7.6,76,3.6,7.6,0.6,1.5,165,990.5,990.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 2:30,20.8,47,7.9,76,3.9,7.9,0.8,1.0,231,990.4,990.4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 2:45,20.8,47,7.9,75,3.7,6.4,2.4,3.1,166,990.3,990.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 3:00,20.7,47,8.0,74,3.7,6.8,2.0,2.6,229,990.0,990.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 3:15,20.7,47,8.0,75,3.8,6.4,2.6,3.6,231,989.8,989.8,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 3:30,20.7,47,8.0,74,3.7,5.3,4.6,6.1,204,989.9,989.9,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 3:45,20.6,47,8.1,74,3.8,5.6,4.0,5.1,210,989.9,989.9,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 4:00,20.6,47,8.0,76,4.0,5.2,4.7,6.1,200,989.9,989.9,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 4:15,20.5,46,8.0,75,3.8,5.2,4.7,5.6,179,990.0,990.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 4:30,20.5,46,8.1,74,3.8,5.9,3.5,5.1,196,990.2,990.2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 4:45,20.5,46,8.0,74,3.7,5.6,3.9,5.6,244,990.2,990.2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 5:00,20.4,46,7.8,76,3.8,6.4,2.2,3.1,218,990.1,990.1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 5:15,20.4,46,7.9,76,3.9,5.7,3.4,5.1,231,990.2,990.2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 5:30,20.4,46,7.9,76,3.9,6.0,2.9,3.1,212,990.1,990.1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 5:45,20.4,46,8.0,75,3.8,7.2,1.7,2.6,185,990.5,990.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 6:00,20.3,46,7.8,75,3.6,5.2,4.3,6.6,233,990.4,990.4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 6:15,20.3,46,7.8,74,3.5,5.7,3.2,4.1,241,990.7,990.7,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 6:30,20.3,46,7.9,74,3.6,5.9,3.1,4.1,246,990.7,990.7,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 6:45,20.3,46,7.7,74,3.4,5.7,3.0,3.6,205,990.5,990.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 7:00,20.3,46,7.4,76,3.4,5.6,2.8,3.6,245,990.9,990.9,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 7:15,20.3,46,7.5,77,3.7,5.1,3.6,5.1,243,991.0,991.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 7:30,20.3,47,7.6,75,3.4,5.6,3.0,4.1,193,991.0,991.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 7:45,20.4,47,7.7,75,3.5,6.0,2.7,3.6,242,991.3,991.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 8:00,20.5,47,7.6,76,3.6,5.5,3.1,4.6,240,991.4,991.4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 8:15,20.6,47,7.7,76,3.7,6.0,2.6,3.1,222,991.5,991.5,0.2,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 8:30,20.6,47,7.5,79,4.1,5.7,2.7,3.1,174,991.9,991.9,0.9,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 8:45,20.6,47,7.4,80,4.2,5.9,2.2,3.1,151,991.9,991.9,1.8,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 9:00,20.6,47,7.1,82,4.2,5.8,2.0,2.6,205,992.4,992.4,3.6,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 9:15,20.7,47,6.9,83,4.2,5.0,2.6,3.1,251,992.7,992.7,11.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 9:30,20.7,48,6.9,82,4.0,5.9,1.7,2.6,213,992.8,992.8,12.8,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 9:45,20.8,48,6.8,83,4.1,4.7,2.9,3.6,147,992.8,992.8,20.1,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 10:00,20.8,48,6.8,81,3.8,4.4,3.4,4.1,245,992.8,992.8,27.4,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 10:15,21.0,48,6.9,81,3.9,4.5,3.4,4.6,225,993.0,993.0,53.5,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 10:30,21.1,48,7.0,81,4.0,5.1,2.7,4.1,242,993.2,993.2,54.9,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 10:45,21.0,47,6.7,82,3.8,4.9,2.5,3.1,239,993.6,993.6,31.1,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 11:00,20.8,45,6.9,81,3.9,4.5,3.4,4.1,234,993.7,993.7,35.6,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 11:15,20.8,45,7.3,80,4.1,5.3,2.9,4.1,227,993.7,993.7,58.4,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 11:30,20.8,45,7.5,79,4.1,5.8,2.6,4.1,227,993.7,993.7,42.7,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 11:45,20.9,46,7.6,80,4.4,6.7,1.7,3.6,234,994.0,994.0,37.4,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 12:00,20.9,46,7.8,78,4.2,6.4,2.3,3.1,237,994.0,994.0,44.9,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 12:15,20.9,46,7.9,76,3.9,5.1,4.5,6.6,244,994.2,994.2,59.7,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 12:30,21.1,46,8.0,78,4.4,6.5,2.4,3.1,160,994.3,994.3,94.5,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 12:45,21.2,46,8.5,76,4.5,8.5,1.3,1.5,251,994.1,994.1,153.1,1,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 13:00,21.3,45,8.5,77,4.7,6.7,2.9,5.6,192,994.2,994.2,78.5,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 13:15,21.1,45,8.3,76,4.3,7.7,1.5,2.0,144,994.4,994.4,80.5,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 13:30,21.1,45,8.5,76,4.5,7.2,2.2,3.6,224,994.4,994.4,60.5,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 13:45,21.1,45,8.4,75,4.2,7.0,2.4,3.6,240,994.5,994.5,64.3,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 14:00,21.2,46,8.4,75,4.2,7.2,2.1,3.1,230,994.4,994.4,61.4,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 14:15,21.2,46,8.4,75,4.2,8.4,1.0,1.0,168,994.5,994.5,56.5,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 14:30,21.3,46,8.5,75,4.3,8.5,1.3,2.0,181,994.7,994.7,54.8,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 14:45,21.3,46,8.4,75,4.2,8.4,1.3,2.0,175,994.8,994.8,52.4,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 15:00,21.3,47,8.6,74,4.2,7.3,2.3,2.6,221,995.2,995.2,39.7,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 15:15,21.3,47,8.4,74,4.0,7.1,2.2,2.6,247,995.1,995.1,31.5,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 15:30,21.2,46,8.3,76,4.3,6.7,2.7,3.6,191,995.1,995.1,25.8,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 15:45,21.2,46,8.2,76,4.2,6.7,2.4,3.1,243,995.4,995.4,20.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 16:00,21.1,46,7.9,78,4.3,7.0,1.7,2.0,249,995.4,995.4,14.4,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 16:15,21.2,47,7.7,78,4.1,6.8,1.7,2.6,150,995.4,995.4,6.6,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 16:30,21.2,47,7.7,79,4.3,6.3,2.2,4.6,239,995.6,995.6,2.5,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 16:45,21.2,47,7.7,79,4.3,7.7,1.0,2.0,241,995.8,995.8,0.6,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 17:00,21.2,47,7.7,79,4.3,7.0,1.5,2.0,233,995.8,995.8,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 17:15,21.2,47,7.8,79,4.4,7.8,1.1,1.5,166,996.0,996.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 17:30,21.1,47,7.7,78,4.1,7.1,1.4,1.5,242,996.1,996.1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 17:45,21.1,47,7.6,79,4.2,6.7,1.7,2.0,214,996.1,996.1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 18:00,21.2,47,7.6,80,4.4,7.6,1.3,2.0,230,996.1,996.1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 18:15,21.2,47,7.7,79,4.3,6.5,2.0,2.6,261,995.9,995.9,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 18:30,21.2,47,7.6,79,4.2,6.7,1.7,2.0,167,996.0,996.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 18:45,21.2,47,7.5,79,4.1,7.5,1.3,1.5,241,996.2,996.2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 19:00,21.2,48,7.4,81,4.3,7.4,0.1,0.5,323,996.2,996.2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 19:15,21.2,48,7.4,80,4.2,7.4,1.3,2.0,224,996.1,996.1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 19:30,21.2,48,7.7,79,4.3,6.9,1.6,2.6,204,996.1,996.1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 19:45,21.2,48,7.5,81,4.4,5.3,3.3,4.1,232,996.0,996.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 20:00,21.2,48,7.3,81,4.2,6.4,1.6,2.0,219,996.4,996.4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 20:15,21.2,48,7.1,81,4.1,7.1,0.8,1.0,206,996.1,996.1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 20:30,21.1,49,7.1,81,4.1,6.2,1.6,2.0,218,995.9,995.9,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 20:45,21.2,49,7.1,81,4.1,7.1,0.9,1.0,221,995.8,995.8,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 21:00,21.2,49,6.9,82,4.0,6.9,0.8,1.5,205,995.6,995.6,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 21:15,21.2,49,6.7,82,3.8,6.0,1.4,2.0,247,995.3,995.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 21:30,21.1,49,6.8,82,3.9,6.8,0.2,0.5,226,995.2,995.2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 21:45,21.0,49,6.7,83,4.0,6.7,0.0,0.0,347,995.0,995.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 22:00,20.9,49,6.4,84,3.9,6.4,0.4,0.5,314,994.8,994.8,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 22:15,20.9,49,6.5,85,4.2,6.5,1.1,1.5,256,994.7,994.7,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 22:30,20.8,49,6.8,84,4.3,6.8,0.5,1.0,275,994.4,994.4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 22:45,20.8,49,6.9,84,4.4,6.9,0.3,0.5,193,994.3,994.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 23:00,20.7,49,7.1,84,4.6,7.1,0.8,1.0,278,994.3,994.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 23:15,20.7,49,7.2,84,4.7,7.2,0.6,1.0,237,994.2,994.2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 23:30,20.6,49,7.2,85,4.8,7.2,0.3,0.5,313,993.9,993.9,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 23:45,20.6,49,7.3,85,4.9,6.7,1.4,2.0,228,993.3,993.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/1 23:59,20.5,49,7.4,85,5.0,7.4,0.1,0.5,335,993.1,993.1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/2 0:00,20.5,49,7.4,85,5.0,7.4,0.1,0.5,335,993.1,993.1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/2 0:15,20.5,49,7.4,84,4.9,7.4,1.0,1.5,239,992.7,992.7,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/2 0:30,20.4,49,7.6,84,5.1,7.6,0.4,0.5,290,992.4,992.4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/2 0:45,20.4,49,7.8,83,5.1,7.8,0.4,1.0,270,992.1,992.1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/2 1:00,20.4,49,7.8,84,5.2,7.8,0.4,0.5,296,991.9,991.9,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/2 1:15,20.4,49,7.9,83,5.2,7.9,0.4,1.0,320,991.3,991.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/2 1:30,20.3,49,7.9,84,5.3,7.9,0.9,1.0,282,991.0,991.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/2 1:45,20.3,49,7.8,85,5.4,6.1,2.6,3.6,251,990.5,990.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/2 2:00,20.3,49,7.8,86,5.6,7.8,1.1,1.5,248,990.3,990.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/2 2:15,20.3,49,7.8,86,5.6,7.8,1.1,1.5,217,989.7,989.7,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/2 2:30,20.2,49,7.7,86,5.5,6.3,2.2,3.1,208,989.1,989.1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2024/1/2 2:45,20.2,49,7.3,90,5.8,5.8,2.2,3.6,198,988.4,988.4,0.0,0,0.5,0.5,0.5,0.5,0.5,0.5,--
2024/1/2 3:00,20.2,49,7.2,90,5.7,5.6,2.4,3.6,217,988.1,988.1,0.0,0,0.7,0.7,0.7,0.7,0.7,0.7,--
2024/1/2 3:15,20.2,49,7.0,90,5.5,7.0,1.3,3.1,165,988.0,988.0,0.0,0,1.2,1.2,1.2,1.2,1.2,1.2,--
2024/1/2 3:30,20.1,49,6.8,90,5.3,5.6,1.8,2.6,175,987.3,987.3,0.0,0,1.5,1.5,1.5,1.5,1.5,1.5,--
2024/1/2 3:45,20.1,49,6.6,91,5.3,5.4,1.8,3.6,272,986.7,986.7,0.0,0,1.2,1.7,1.7,1.7,1.7,1.7,--
2024/1/2 4:00,20.0,49,6.6,92,5.4,6.6,0.8,1.0,174,986.2,986.2,0.0,0,1.5,2.2,2.2,2.2,2.2,2.2,--
2024/1/2 4:15,20.0,49,6.7,92,5.5,4.5,3.1,4.1,202,986.0,986.0,0.0,0,1.3,2.5,2.5,2.5,2.5,2.5,--
2024/1/2 4:30,20.0,49,6.8,93,5.7,6.8,0.9,1.5,157,985.4,985.4,0.0,0,1.2,2.7,2.7,2.7,2.7,2.7,--
2024/1/2 4:45,19.9,49,7.0,93,5.9,5.1,2.7,3.6,213,984.8,984.8,0.0,0,1.6,3.3,3.3,3.3,3.3,3.3,--
2024/1/2 5:00,19.9,49,7.2,93,6.1,6.6,1.4,2.0,263,983.8,983.8,0.0,0,1.6,3.8,3.8,3.8,3.8,3.8,--
2024/1/2 5:15,19.9,49,7.3,93,6.2,7.3,0.9,1.0,273,983.5,983.5,0.0,0,1.3,3.8,3.8,3.8,3.8,3.8,--
2024/1/2 5:30,19.9,49,7.7,93,6.6,6.8,1.7,3.1,223,983.3,983.3,0.0,0,1.8,4.5,4.5,4.5,4.5,4.5,--
2024/1/2 5:45,19.9,49,7.8,93,6.7,6.4,2.2,3.1,237,982.6,982.6,0.0,0,1.5,4.8,4.8,4.8,4.8,4.8,--
2024/1/2 6:00,19.8,49,8.2,92,7.0,6.0,3.5,4.1,248,982.5,982.5,0.0,0,1.2,5.0,5.0,5.0,5.0,5.0,--
2024/1/2 6:15,19.8,49,8.5,91,7.2,6.3,3.7,4.6,133,982.4,982.4,0.0,0,1.2,5.0,5.0,5.0,5.0,5.0,--
2024/1/2 6:30,19.8,49,9.0,90,7.4,7.5,2.7,3.6,254,982.4,982.4,0.0,0,0.5,5.0,5.0,5.0,5.0,5.0,--
2024/1/2 6:45,19.8,49,9.4,89,7.6,6.7,5.5,6.6,239,982.5,982.5,0.0,0,0.3,5.3,5.3,5.3,5.3,5.3,--
2024/1/2 7:00,19.8,49,9.7,89,7.9,7.5,4.3,5.6,225,982.5,982.5,0.0,0,0.3,5.3,5.3,5.3,5.3,5.3,--
2024/1/2 7:15,19.8,49,9.9,89,8.1,7.5,4.9,5.6,231,982.4,982.4,0.0,0,0.3,5.3,5.3,5.3,5.3,5.3,--
2024/1/2 7:30,19.9,49,10.0,89,8.2,10.0,2.6,3.1,160,982.6,982.6,0.0,0,0.3,5.3,5.3,5.3,5.3,5.3,--
2024/1/2 7:45,19.9,49,10.2,88,8.2,10.2,4.0,5.1,242,982.9,982.9,0.0,0,0.0,5.3,5.3,5.3,5.3,5.3,--
2024/1/2 8:00,20.0,50,10.5,87,8.4,10.5,4.7,7.1,249,982.8,982.8,0.0,0,0.0,5.3,5.3,5.3,5.3,5.3,--
2024/1/2 8:15,20.0,50,10.7,87,8.6,10.7,2.8,4.1,216,983.0,983.0,0.0,0,0.0,5.3,5.3,5.3,5.3,5.3,--
2024/1/2 8:30,20.0,50,10.8,87,8.7,10.8,1.8,2.0,198,982.9,982.9,0.5,0,0.0,5.3,5.3,5.3,5.3,5.3,--
2024/1/2 8:45,20.0,50,11.0,86,8.8,11.0,3.1,4.1,243,983.2,983.2,1.6,0,0.0,5.3,5.3,5.3,5.3,5.3,--
2024/1/2 9:00,20.0,50,10.9,87,8.8,10.9,3.2,3.6,230,983.3,983.3,3.9,0,0.0,5.3,5.3,5.3,5.3,5.3,--
2024/1/2 9:15,20.0,50,10.9,87,8.8,10.9,2.5,3.6,169,983.6,983.6,6.8,0,0.0,5.3,5.3,5.3,5.3,5.3,--
2024/1/2 9:30,20.0,50,11.0,87,8.9,11.0,1.8,2.6,232,983.4,983.4,12.9,0,0.0,5.3,5.3,5.3,5.3,5.3,--
2024/1/2 9:45,20.0,50,10.9,87,8.8,10.9,4.2,5.1,230,983.5,983.5,17.0,0,0.0,5.3,5.3,5.3,5.3,5.3,--
2024/1/2 10:00,20.0,49,11.0,87,8.9,11.0,3.3,4.1,239,983.8,983.8,30.8,0,0.0,5.3,5.3,5.3,5.3,5.3,--
2024/1/2 10:15,19.9,49,11.2,86,9.0,11.2,3.4,4.6,259,983.6,983.6,24.9,0,0.0,5.3,5.3,5.3,5.3,5.3,--
2024/1/2 10:30,19.9,49,11.3,86,9.1,11.3,2.3,3.1,137,983.6,983.6,28.9,0,0.0,5.3,5.3,5.3,5.3,5.3,--
2024/1/2 10:45,19.9,49,11.5,84,8.9,11.5,2.8,3.1,173,984.0,984.0,25.0,0,0.0,5.3,5.3,5.3,5.3,5.3,--
2024/1/2 11:00,19.9,49,11.6,83,8.8,11.6,4.0,5.6,217,983.4,983.4,32.0,0,0.0,5.3,5.3,5.3,5.3,5.3,--
2024/1/2 11:15,19.9,49,11.3,85,8.9,11.3,2.9,4.1,246,983.2,983.2,32.7,0,0.0,5.3,5.3,5.3,5.3,5.3,--
2024/1/2 11:30,20.0,50,11.1,85,8.7,11.1,4.0,4.1,157,983.1,983.1,33.1,0,0.0,5.3,5.3,5.3,5.3,5.3,--
2024/1/2 11:45,20.0,50,10.9,85,8.5,10.9,2.9,4.1,277,983.1,983.1,23.4,0,0.0,5.3,5.3,5.3,5.3,5.3,--
2024/1/2 12:00,20.0,50,10.5,87,8.4,10.5,3.6,5.6,262,983.1,983.1,24.6,0,0.0,5.3,5.3,5.3,5.3,5.3,--
2024/1/2 12:15,19.8,49,10.4,87,8.3,10.4,2.2,3.1,183,983.3,983.3,28.3,0,0.0,5.3,5.3,5.3,5.3,5.3,--
2024/1/2 12:30,20.0,49,10.4,87,8.3,10.4,1.8,3.6,189,982.9,982.9,26.6,0,0.0,5.3,5.3,5.3,5.3,5.3,--
2024/1/2 12:45,20.1,50,10.3,87,8.2,10.3,1.8,2.6,218,982.7,982.7,30.7,0,0.2,5.5,5.5,5.5,5.5,5.5,--
2024/1/2 13:00,20.1,50,10.1,88,8.1,10.1,1.6,2.0,211,982.2,982.2,29.9,0,0.2,5.5,5.5,5.5,5.5,5.5,--
2024/1/2 13:15,20.2,50,9.8,90,8.2,9.1,1.8,2.0,225,981.8,981.8,23.7,0,0.5,5.8,5.8,5.8,5.8,5.8,--
2024/1/2 13:30,20.2,50,9.7,91,8.3,9.3,1.5,2.6,171,981.5,981.5,18.4,0,0.7,6.0,6.0,6.0,6.0,6.0,--
