Zeit,Temperatur Innen(℃),Luftfeuchtigkeit Innen(%),Temperatur Aussen(℃),Luftfeuchtigkeit Aussen(%),Taupunkt(℃),Gefühlte Temperatur(℃),Wind(m/s),Böe(m/s),Windrichtung(°),Abs. Luftdruck(hpa),Rel. Luftdruck(hpa),Sonneneinstrahlung(w/m2),UVI,Regen/Stunde(mm),Regen Event(mm),Regen/Tag(mm),Regen/Wochen(mm),Regen/Monat(mm),Regen/Jahre(mm),Pm2.5(ug/m3)
2023/3/1 0:00,21.4,39,-2.7,76,-6.4,-2.7,0.0,0.0,353,1016.5,1016.5,0.0,0,0.0,0.0,0.0,0.0,0.0,65.0,--
2023/3/1 0:15,21.4,39,-1.1,69,-6.1,-1.1,0.0,0.0,358,1016.5,1016.5,0.0,0,0.0,0.0,0.0,0.0,0.0,65.0,--
2023/3/1 0:30,21.3,39,-1.0,68,-6.2,-1.0,0.0,0.0,359,1016.6,1016.6,0.0,0,0.0,0.0,0.0,0.0,0.0,65.0,--
2023/3/1 0:45,21.3,39,-1.9,73,-6.1,-1.9,0.0,0.0,359,1016.5,1016.5,0.0,0,0.0,0.0,0.0,0.0,0.0,65.0,--
2023/3/1 1:00,21.3,39,-1.8,72,-6.2,-1.8,0.0,0.0,359,1016.4,1016.4,0.0,0,0.0,0.0,0.0,0.0,0.0,65.0,--
2023/3/1 1:15,21.2,39,-2.3,74,-6.3,-2.3,0.0,0.0,359,1016.5,1016.5,0.0,0,0.0,0.0,0.0,0.0,0.0,65.0,--
2023/3/1 1:30,21.1,39,-2.7,76,-6.4,-2.7,0.0,0.0,359,1016.7,1016.7,0.0,0,0.0,0.0,0.0,0.0,0.0,65.0,--
2023/3/1 1:45,21.1,39,-2.7,75,-6.5,-2.7,0.0,0.0,359,1016.5,1016.5,0.0,0,0.0,0.0,0.0,0.0,0.0,65.0,--
2023/3/1 2:00,21.0,39,-2.1,76,-5.8,-2.1,0.0,0.0,356,1016.5,1016.5,0.0,0,0.0,0.0,0.0,0.0,0.0,65.0,--
2023/3/1 2:15,21.0,39,-2.8,77,-6.3,-2.8,0.0,0.0,356,1016.6,1016.6,0.0,0,0.0,0.0,0.0,0.0,0.0,65.0,--
